ç±»åˆ«ï__æ‰€æœ‰ç±»åˆ«,
æœˆä»_,google: (å…¨çêƒ)
2004-01,6
2004-02,6
2004-03,6
2004-04,8
2004-05,7
2004-06,7
2004-07,7
2004-08,7
2004-09,7
2004-10,8
2004-11,8
2004-12,8
2005-01,8
2005-02,9
2005-03,9
2005-04,11
2005-05,11
2005-06,11
2005-07,19
2005-08,24
2005-09,25
2005-10,22
2005-11,21
2005-12,20
2006-01,22
2006-02,22
2006-03,22
2006-04,23
2006-05,23
2006-06,24
2006-07,25
2006-08,25
2006-09,26
2006-10,27
2006-11,26
2006-12,27
2007-01,28
2007-02,28
2007-03,28
2007-04,29
2007-05,29
2007-06,30
2007-07,30
2007-08,30
2007-09,31
2007-10,30
2007-11,30
2007-12,29
2008-01,29
2008-02,30
2008-03,31
2008-04,31
2008-05,31
2008-06,31
2008-07,32
2008-08,33
2008-09,39
2008-10,34
2008-11,35
2008-12,34
2009-01,36
2009-02,39
2009-03,39
2009-04,40
2009-05,39
2009-06,39
2009-07,39
2009-08,40
2009-09,41
2009-10,43
2009-11,43
2009-12,42
2010-01,44
2010-02,45
2010-03,46
2010-04,46
2010-05,47
2010-06,46
2010-07,45
2010-08,46
2010-09,48
2010-10,49
2010-11,49
2010-12,49
2011-01,49
2011-02,52
2011-03,56
2011-04,56
2011-05,57
2011-06,59
2011-07,63
2011-08,60
2011-09,63
2011-10,61
2011-11,61
2011-12,60
2012-01,61
2012-02,60
2012-03,60
2012-04,62
2012-05,62
2012-06,60
2012-07,61
2012-08,64
2012-09,65
2012-10,75
2012-11,77
2012-12,82
2013-01,83
2013-02,85
2013-03,85
2013-04,86
2013-05,90
2013-06,89
2013-07,89
2013-08,89
2013-09,95
2013-10,99
2013-11,100
2013-12,97
2014-01,96
2014-02,97
2014-03,97
2014-04,94
2014-05,97
2014-06,94
2014-07,92
2014-08,97
2014-09,100
2014-10,99
2014-11,99
2014-12,95
2015-01,95
2015-02,95
2015-03,96
2015-04,94
2015-05,94
2015-06,90
2015-07,89
2015-08,90
2015-09,97
2015-10,93
2015-11,92
2015-12,90
2016-01,90
2016-02,88
2016-03,88
2016-04,87
2016-05,86
2016-06,80
2016-07,79
2016-08,82
2016-09,86
2016-10,86
2016-11,87
2016-12,80
2017-01,81
2017-02,82
2017-03,81
2017-04,79
2017-05,87